t,phase,temp,power,sm_mhz,throttle
26.322,load,62,29.998,1567,1
26.373,load,62,29.998,1567,1
26.424,load,62,29.998,1567,1
26.474,load,62,28.36,1500,1
26.525,load,62,28.36,1500,1
26.575,load,62,28.36,1500,1
26.626,load,62,28.36,1500,1
26.676,load,62,28.36,1500,1
26.727,load,62,28.36,1500,1
26.777,load,62,28.36,1500,1
26.828,load,62,28.36,1500,1
26.879,load,62,28.36,1500,1
26.929,load,62,28.36,1500,1
26.98,load,62,27.24,1470,1
27.03,load,62,27.24,1470,1
27.081,load,62,27.24,1470,1
27.131,load,62,27.24,1470,1
27.182,load,62,27.24,1470,1
27.232,load,62,27.24,1470,1
27.282,load,62,27.24,1470,1
27.333,load,62,27.24,1470,1
27.384,load,62,27.24,1470,1
27.434,load,62,27.24,1470,1
27.485,load,62,26.849,1432,1
27.535,load,62,26.849,1432,1
27.585,load,62,26.849,1432,1
27.636,load,62,26.849,1432,1
27.686,load,62,26.849,1432,1
27.737,load,62,26.849,1432,1
27.787,load,62,26.849,1432,1
27.838,load,62,26.849,1432,1
27.888,load,62,26.849,1432,1
27.939,load,61,25.024,1365,1
27.989,load,61,25.024,1365,1
28.039,load,61,25.024,1365,1
28.09,load,61,25.024,1365,1
28.14,load,61,25.024,1365,1
28.191,load,61,25.024,1365,1
28.241,load,61,25.024,1365,1
28.292,load,61,25.024,1365,1
28.342,load,61,25.024,1365,1
28.392,load,61,25.024,1365,1
28.443,load,62,24.581,1312,1
28.493,load,62,24.581,1312,1
28.544,load,62,24.581,1312,1
28.595,load,62,24.581,1312,1
28.645,load,62,24.581,1312,1
28.695,load,62,24.581,1312,1
28.746,load,62,24.581,1312,1
28.796,load,62,24.581,1312,1
28.847,load,62,24.581,1312,1
28.897,load,62,24.581,1312,1
28.948,load,62,24.931,1297,1
28.998,load,62,24.931,1297,1
29.049,load,62,24.931,1297,1
29.099,load,62,24.931,1297,1
29.15,load,62,24.931,1297,1
29.2,load,62,24.931,1297,1
29.251,load,62,24.931,1297,1
29.301,load,62,24.931,1297,1
29.351,load,62,24.931,1297,1
29.402,load,62,24.931,1297,1
29.452,load,62,25.303,1312,1
29.503,load,62,25.303,1312,1
29.553,load,62,25.303,1312,1
29.604,load,62,25.303,1312,1
29.654,load,62,25.303,1312,1
29.705,load,62,25.303,1312,1
29.755,load,62,25.303,1312,1
29.806,load,62,25.303,1312,1
29.856,load,62,25.303,1312,1
29.907,load,62,25.303,1312,1
29.957,load,62,25.327,1312,1
30.008,load,62,25.327,1312,1
30.059,load,62,25.327,1312,1
30.109,load,62,25.327,1312,1
30.159,load,62,25.327,1312,1
30.21,load,62,25.327,1312,1
30.261,load,62,25.327,1312,1
30.311,load,62,25.327,1312,1
30.362,load,62,25.327,1312,1
30.412,load,62,25.327,1312,1
30.462,load,63,25.401,1312,1
30.513,load,63,25.401,1312,1
30.563,load,63,25.401,1312,1
30.614,load,63,25.401,1312,1
30.664,load,63,25.401,1312,1
30.714,load,63,25.401,1312,1
30.765,load,63,25.401,1312,1
30.816,load,63,25.401,1312,1
30.866,load,63,25.401,1312,1
30.916,load,63,25.401,1312,1
30.967,load,63,25.499,1312,1
31.017,load,63,25.499,1312,1
31.067,load,63,25.499,1312,1
31.118,load,63,25.499,1312,1
31.168,load,63,25.499,1312,1
31.219,load,63,25.499,1312,1
31.27,load,63,25.499,1312,1
31.32,load,63,25.499,1312,1
31.371,load,63,25.499,1312,1
31.421,load,63,25.499,1312,1
31.471,load,63,25.431,1275,1
31.522,load,63,25.431,1275,1
31.572,load,63,25.431,1275,1
31.622,load,63,25.431,1275,1
31.673,load,63,25.431,1275,1
31.723,load,63,25.431,1275,1
31.774,load,63,25.431,1275,1
31.824,load,63,25.431,1275,1
31.875,load,63,25.431,1275,1
31.925,load,63,25.431,1275,1
31.976,load,63,25.179,1275,1
32.026,load,63,25.179,1275,1
32.076,load,63,25.179,1275,1
32.127,load,63,25.179,1275,1
32.177,load,63,25.179,1275,1
32.227,load,63,25.179,1275,1
32.278,load,63,25.179,1275,1
32.328,load,63,25.179,1275,1
32.379,load,63,25.179,1275,1
32.429,load,63,25.179,1275,1
32.48,load,63,25.044,1260,1
32.53,load,63,25.044,1260,1
32.581,load,63,25.044,1260,1
32.631,load,63,25.044,1260,1
32.681,load,63,25.044,1260,1
32.732,load,63,25.044,1260,1
32.782,load,63,25.044,1260,1
32.832,load,63,25.044,1260,1
32.883,load,63,25.044,1260,1
32.933,load,63,25.044,1260,1
32.984,load,63,24.716,1245,1
33.034,load,63,24.716,1245,1
33.085,load,63,24.716,1245,1
33.135,load,63,24.716,1245,1
33.186,load,63,24.716,1245,1
33.236,load,63,24.716,1245,1
33.287,load,63,24.716,1245,1
