ts,temp,power_w,sm_mhz,throttle
1788093756.505844,89,32.892,1230,32
1788093756.5562928,89,32.892,1230,32
1788093756.6068492,89,32.892,1230,32
1788093756.6573277,89,33.9,210,32
1788093756.7076826,89,33.9,210,32
1788093756.7584293,89,33.9,210,32
1788093756.8088593,89,33.9,210,32
1788093756.8590565,89,33.9,210,32
1788093756.9094162,89,33.9,210,32
1788093756.9598663,89,33.9,210,32
1788093757.0102284,89,33.9,210,32
1788093757.0604782,89,33.9,210,32
1788093757.1109734,89,33.9,210,32
1788093757.1615796,88,32.907,997,32
1788093757.2120864,88,32.907,997,32
1788093757.2624462,88,32.907,997,32
1788093757.3128247,88,32.907,997,32
1788093757.363061,88,32.907,997,32
1788093757.413298,88,32.907,997,32
1788093757.464019,88,32.907,997,32
1788093757.5146003,88,32.907,997,32
1788093757.564858,88,32.907,997,32
1788093757.615307,88,32.907,997,32
1788093757.6656806,88,31.309,690,32
1788093757.716036,88,31.309,690,32
1788093757.766715,88,31.309,690,32
1788093757.8169646,88,31.309,690,32
1788093757.8674657,88,31.309,690,32
1788093757.917672,88,31.309,690,32
1788093757.9682634,88,31.309,690,32
1788093758.0186472,88,31.309,690,32
1788093758.0690005,88,31.309,690,32
1788093758.119295,88,31.309,690,32
1788093758.1697989,88,32.329,915,32
1788093758.220235,88,32.329,915,32
1788093758.270581,88,32.329,915,32
1788093758.3212237,88,32.329,915,32
1788093758.3714907,88,32.329,915,32
1788093758.4220092,88,32.329,915,32
1788093758.4725175,88,32.329,915,32
1788093758.5230033,88,32.329,915,32
1788093758.5735593,88,32.329,915,32
1788093758.6237037,88,32.329,915,32
1788093758.6741848,88,31.273,1290,1
1788093758.7245493,88,31.273,1290,1
1788093758.7748885,88,31.273,1290,1
1788093758.8252008,88,31.273,1290,1
1788093758.8757198,88,31.273,1290,1
1788093758.9263394,88,31.273,1290,1
1788093758.9768925,88,31.273,1290,1
1788093759.0273073,88,31.273,1290,1
1788093759.077936,88,31.273,1290,1
1788093759.128465,88,31.273,1290,1
1788093759.178752,89,31.28,1237,32
